OCC_ADJ;Occitan;Occitan;Occitan;;;;;;;;;;;x;
OCC;Occitania;Occitania;Occitania;;;;;;;;;;;x;
OCC_proletarian_dictatorship;Occitania;Occitania;Occitania;;;;;;;;;;;x;
OCC_presidential_dictatorship;Occitania;Occitania;Occitania;;;;;;;;;;;x;
OCC_bourgeois_dictatorship;Occitania;Occitania;Occitania;;;;;;;;;;;x;
OCC_fascist_dictatorship;Occitania;Occitania;Occitania;;;;;;;;;;;x;
OCC_absolute_monarchy;Occitania;Occitania;Occitania;;;;;;;;;;;x;
OCC_prussian_constitutionalism;Occitania;Occitania;Occitania;;;;;;;;;;;x;
OCC_hms_government;Occitania;Occitania;Occitania;;;;;;;;;;;x;
OCC_democracy;Occitania;Occitania;Occitania;;;;;;;;;;;x;
OCC_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
OCC_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
OCC_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
OCC_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
OCC_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
OCC_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
OCC_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
OCC_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
OCC_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
NRM_ADJ;Norman;Norman;Norman;;;;;;;;;;;x;
NRM;Normandy;Normandy;Normandy;;;;;;;;;;;x;
NRM_proletarian_dictatorship;Normandy;Normandy;Normandy;;;;;;;;;;;x;
NRM_presidential_dictatorship;Normandy;Normandy;Normandy;;;;;;;;;;;x;
NRM_bourgeois_dictatorship;Normandy;Normandy;Normandy;;;;;;;;;;;x;
NRM_fascist_dictatorship;Normandy;Normandy;Normandy;;;;;;;;;;;x;
NRM_absolute_monarchy;Normandy;Normandy;Normandy;;;;;;;;;;;x;
NRM_prussian_constitutionalism;Normandy;Normandy;Normandy;;;;;;;;;;;x;
NRM_hms_government;Normandy;Normandy;Normandy;;;;;;;;;;;x;
NRM_democracy;Normandy;Normandy;Normandy;;;;;;;;;;;x;
NRM_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
NRM_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
NRM_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
NRM_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
NRM_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
NRM_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
NRM_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
NRM_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
NRM_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
LOR_ADJ;Loiringian;Loiringian;Loiringian;;;;;;;;;;;x;
LOR;Loiringia;Loiringia;Loiringia;;;;;;;;;;;x;
LOR_proletarian_dictatorship;Loiringia;Loiringia;Loiringia;;;;;;;;;;;x;
LOR_presidential_dictatorship;Loiringia;Loiringia;Loiringia;;;;;;;;;;;x;
LOR_bourgeois_dictatorship;Loiringia;Loiringia;Loiringia;;;;;;;;;;;x;
LOR_fascist_dictatorship;Loiringia;Loiringia;Loiringia;;;;;;;;;;;x;
LOR_absolute_monarchy;Loiringia;Loiringia;Loiringia;;;;;;;;;;;x;
LOR_prussian_constitutionalism;Loiringia;Loiringia;Loiringia;;;;;;;;;;;x;
